"sensor_name","sensor_id","date_installed","tidally_influenced","date_removed","street_name","borough","zipcode","community_board","council_district","census_tract","nta","latitude","longitude","lowest_point_height_delta_inches","location"
"SI - Castleton Ave / Caroline St","SI-caroline-st-castleton-ave-2agc1o","2025-02-19T00:00:00.000","No",,"Castleton Avenue","Staten Island","10310","501","SI01","5013302","SI0106","40.634294","-74.119554","3.98","POINT (-74.119554 40.634294)"
"BK - Van Brunt St/Reed St","BK-van-brunt-st-reed-st-0pzyg0","2022-02-18T00:00:00.000","No","2022-12-27T00:00:00.000","Van Brunt Street","Brooklyn","11231","306","BK06","3005301","BK0601","40.674602","-74.01607","64.96","POINT (-74.01607 40.674602)"
"Q - 160th St/72nd Ave","Q-160th-st-72nd-ave-1lmgk0","2023-10-26T00:00:00.000","No",,"72nd Avenue","Queens","11365","408","QN08","4125700","QN0802","40.728024","-73.808891","9.02","POINT (-73.808891 40.728024)"
"BK - 2nd Ave/49th St","BK-2nd-ave-49th-st-20cdbc","2024-08-07T00:00:00.000","No","2025-09-17T00:00:00.000","2nd Avenue","Brooklyn","11232","307","BK07","3001803","BK0702","40.649779","-74.016307","5.98","POINT (-74.016307 40.649779)"
"M - W 24th St/12th Ave","M-12th-ave-w-24th-st-2nvb30","2025-11-07T00:00:00.000","No",,"West 24th Street","Manhattan","10011","104","MN04","1009901","MN0401","40.75026","-74.00807","8.78","POINT (-74.00807 40.75026)"
"BK - Fulton St/Dekalb Ave","BK-fulton-st-dekalb-ave-1zmfzc","2024-07-24T00:00:00.000","No","2025-01-23T00:00:00.000","Fulton Street, Harriet Ross Tubman Avenue, Fulton Mall","Brooklyn","11201","302","BK02","3003300","BK0203","40.689812","-73.983095","6.73","POINT (-73.983095 40.689812)"
"M - Morningside Av/125th St","M-morningside-av-125th-st-0mhn80","2021-12-12T00:00:00.000","No","2023-10-12T00:00:00.000","Morningside Avenue","Manhattan","10027","109","MN09","1020901","MN0901","40.811159","-73.954033","10.43","POINT (-73.954033 40.811159)"
"BK - Bergen St / 3rd Ave","BK-3rd-ave-bergen-st-2jg440","2025-08-13T00:00:00.000","No",,"Bergen Street","Brooklyn","11217","302","BK06","3012700","BK0601","40.683327","-73.981874","6.97","POINT (-73.981874 40.683327)"
"BK - Neptune Ave W 35th St","BK-neptune-ave-w-35th-st-1xvfk0","2024-06-20T00:00:00.000","No",,"West 35th Street","Brooklyn","11224","313","BK13","3032800","BK1302","40.577021","-74.001021","7.91","POINT (-74.001021 40.577021)"
"BK - E92nd St/ Ave J","BK-e-92nd-st-avenue-j-2nick0","2025-10-31T00:00:00.000","No",,"East 92nd Street","Brooklyn","11236","318","BK18","3099200","BK1803","40.63931","-73.90265","9.37","POINT (-73.90265 40.63931)"
"Q - 77th St/62nd Ave","Q-77th-st-62nd-ave-1vcgk0","2024-05-02T00:00:00.000","No",,"77th Street","Queens","11379","405","QN05","4067100","QN0504","40.721687","-73.880904","9.65","POINT (-73.880904 40.721687)"
"BK - 2nd Ave/53rd St","BK-2nd-ave-53rd-st-1umuc0","2024-04-18T00:00:00.000","No",,"53rd Street, Whale Square","Brooklyn","11232","307","BK07","3002000","BK0702","40.647348","-74.018487","13.31","POINT (-74.018487 40.647348)"
"BK - Bay 49th St/Harway Ave","BK-bay-49th-st-harway-ave-1xvl40","2024-06-20T00:00:00.000","No",,"Harway Avenue","Brooklyn","11214","313","BK13","3030600","BK1301","40.588256","-73.984969","3.86","POINT (-73.984969 40.588256)"
